	logFC	logCPM	F	PValue	color
nsmce1	4.35150642884291	4.80685872983319	37.660217903594	0.000449480210698871	red
si:ch73-347e22.8	2.31829350084002	7.49653425909048	37.6330592317193	0.000450468540024373	red
stx11b.1	2.01068766056987	8.39452930336937	37.5986494374411	0.000451724751316906	red
si:ch211-214p13.9	2.64406394230092	4.94714597398442	37.5682674727262	0.000452837654682965	red
zgc:113274	2.58026139616911	4.34620072866088	37.3975016194694	0.000459158747641735	red
zmiz2	-3.67891808199963	3.69303486212291	37.3510083127691	0.000460899325953883	blue
DHX35	-4.88479272870853	3.24145942448426	37.2979610996535	0.000462895615066872	blue
nfat5a	-10.3954479461211	2.30928085487903	46.1767610145463	0.000465497895293767	blue
rraga	1.90507898670681	6.71558236478435	37.1518506077473	0.000468451732800526	red
C19H6orf62	1.8347035097292	8.75247566216017	37.1329082697069	0.000469178300819983	red
madd	2.42321985267783	5.36604617286914	37.0635116309518	0.000471852516163843	red
alas1	-1.7686855799111	7.49474276421612	36.9540145357743	0.000476111906704592	blue
CT583728.24	-7.99317333393524	11.1543701085916	36.9354467051053	0.000476839071507017	blue
prps1b	1.95644880753062	5.46303457837693	36.7232208791873	0.000485252475078725	red
zgc:158463	-9.82843172149529	12.9846740542231	36.6913633779637	0.000486531813023823	blue
slc37a1	2.05238913717593	7.66357360650152	36.6763892936401	0.00048713463911361	red
abcb11b	1.75284527871015	7.67518391211601	36.6344694877691	0.000488827348095514	red
nsmaf	3.08984977263747	7.08380600595153	36.626080563177	0.000489166995887121	red
mcl1b	1.9012700322093	8.75906472467642	36.6247764394258	0.000489219823969674	red
fndc3ba	2.95085853747938	7.77696246875641	36.5279188206445	0.000493163920733502	red
pitpnc1b	1.76228758113465	5.75919758864968	36.4807108289044	0.000495101042877398	red
ap1g1	-2.26941944747331	5.02219701554674	36.4709464295275	0.000495502930583549	blue
tgfbr2a	-10.0716029156738	1.9917319131315	44.9641418367653	0.000500586654353767	blue
CU499336.2	2.16195377850477	8.52285245934065	36.3305512292566	0.000501327918861249	red
si:ch73-376l24.3	2.7155518472878	4.7891064578899	36.3211526152208	0.000501720996193645	red
ube2al	2.38412742364016	8.57615925948304	36.2500337959407	0.000504708243143128	red
wu:fb18f06	2.09559768992152	8.14138878154406	36.2071447103005	0.000506520772459794	red
igf2bp2a	-7.76328593633269	2.68463745210317	36.1904942679786	0.000507226684003847	blue
CU855711.1	10.8169565917276	2.6934987564323	36.0137735421405	0.000514797282219619	red
hmgb2b	2.08910993725091	6.8654964969756	35.9527321581593	0.000517445904119656	red
epn2	2.05282921201939	8.31390762427518	35.9000072931567	0.000519747752650349	red
st3gal5	2.02909096850533	6.72792357510755	35.8649511432384	0.000521285498454061	red
CABZ01061592.1	-10.1853137213577	2.10193960725217	44.1080058309002	0.000527503513908963	blue
zfyve16	-9.98404826500939	1.9048996033934	44.0688032988003	0.000528781603247991	blue
pdcd6	1.99013971158297	7.38986585126617	35.6639742747774	0.000530214953568728	red
tmem170a	3.24061140335597	6.42949573868173	35.6494904580393	0.000530866026985261	red
trim62.1	-10.0115462068248	1.93213719209365	43.9823477226211	0.000531614824536198	blue
FO704772.2	-14.6145722390947	6.50444386009054	43.9031557785447	0.000534227737061454	blue
ctif	-10.18214878101	2.09953130081532	43.6543118005125	0.000542550150057722	blue
tle5	-9.98892937590162	1.9103150531886	43.6114289500549	0.000544001703693415	blue
dram2b	1.63283017305529	6.79513584994371	35.3058572344075	0.000546618298093881	red
trappc4	2.33283022844776	7.34523458553592	35.2939846230602	0.000547173189206693	red
march8	2.37884394545694	7.11554169888897	35.2467347570297	0.000549388683046529	red
pdhx	-2.38090375741225	5.42331822195714	35.1668437075384	0.000553160931082891	blue
plcd4b	-10.2885283164909	2.20295734936857	43.2286155180309	0.000557191214679324	blue
calcoco2	2.93568304145632	5.98605286029029	35.0701770135594	0.000557769824667548	red
rplp1	-2.05490007235591	8.2327636538511	34.9456061751367	0.000563782042405948	blue
si:rp71-45k5.4	2.71673122206267	7.26164411133751	34.9425770436	0.000563929271533656	red
acat1	-2.85290408186842	7.3610896951004	34.9150920878391	0.000565267418065087	blue
cirbpa	2.11890284278281	9.10250602244897	34.7479874810053	0.000573491437019338	red
ppt1	2.04727912704106	9.19061475133752	34.7283078351981	0.000574470043157372	red
elof1	-2.53042867520763	6.80860197764198	34.6221474359194	0.000579786170676911	blue
uggt1	1.71557065972107	6.08667755699916	34.5742520871778	0.000582205253819753	red
b3gnt2b	2.82569180701461	6.65659757140101	34.4459312645673	0.000588750566066601	red
aspa	-9.92371270677074	1.84689549662451	42.3423755531532	0.0005893989820193	blue
skilb	-10.6225303985321	2.5327346607006	41.7334234268363	0.000612976480576904	blue
cfl1	2.45350774833763	10.3963775582986	33.9200673928649	0.000616581008012358	red
arpc2	1.99793839472206	9.28201346462469	33.8599863057305	0.00061986722525688	red
mgat3b	-10.1171196834003	2.03697944568421	41.5603584875349	0.0006199053357227	blue
